friendly	mangled	vtable_rva	subobj_off	col_rva	td_rva	vt0_func_rva
AccessibilityOptions	.?AVAccessibilityOptions@@	0x62657C0	0	0x6EFF6D0	0x8AFABD0	0x32223B0
AccessibilityPresets	.?AVAccessibilityPresets@@	0x63AA750	0	0x6FE4918	0x8B989F8	0x385C150
AccoladeCategoriesScene	.?AVAccoladeCategoriesScene@@	0x62496D0	0	0x6EED2D0	0x8AEF838	0x3135920
AccoladeItemsScene	.?AVAccoladeItemsScene@@	0x631C580	0	0x6F86000	0x8B493D8	0x35BBF60
AdjustTimeLimitSettings	.?AVAdjustTimeLimitSettings@@	0x62D1A70	0	0x6F4D900	0x8B27998	0x341F040
AdvancedAuctionSearchPopup	.?AVAdvancedAuctionSearchPopup@@	0x6348418	0	0x6FA2DF0	0x8B5A4F0	0x3670420
AdvancedControllerOptions	.?AVAdvancedControllerOptions@@	0x6402D60	0	0x70278A0	0x8BC41E8	0x3A8C7E0
AnyButtonPressedPopup	.?AVAnyButtonPressedPopup@@	0x62C5808	0	0x6F48500	0x8B244A8	0x33F8970
ARActivation	.?AVARActivation@@	0x6351070	0	0x6FA7198	0x8B5B720	0x368F830
ARBillboard	.?AVARBillboard@@	0x6365830	0	0x6FABD00	0x8B5E970	0x36BCE40
ARCheckpoint	.?AVARCheckpoint@@	0x6366188	0	0x6FABFC8	0x8B5E998	0x36BCE90
ARFlagRush	.?AVARFlagRush@@	0x6366AE0	0	0x6FAC298	0x8B5E9C0	0x36BCEE0
ARRaceEncounterActivation	.?AVARRaceEncounterActivation@@	0x62E7A60	0	0x6F60D28	0x8B34498	0x34ADAD0
AssistOptions	.?AVAssistOptions@@	0x63346A0	0	0x6F94270	0x8B50EA0	0x362FBD0
AuctionHouseMenuTiled	.?AVAuctionHouseMenuTiled@@	0x62FCCC0	0	0x6F6FCF8	0x8B3DC10	0x351D620
AuctionHouseViewCar	.?AVAuctionHouseViewCar@@	0x6335F78	0	0x6F94578	0x8B50EC8	0x362FC90
AuctionListings	.?AVAuctionListings@@	0x627B318	0	0x6F10B78	0x8B05D80	0x3296D90
AuctionOptionsPopup	.?AVAuctionOptionsPopup@@	0x6367438	0	0x6FAB0F0	0x8B5E8B8	0x36BCF30
AuctionSearchPopup	.?AVAuctionSearchPopup@@	0x6347A88	0	0x6FA2B08	0x8B5A4C0	0x36704B0
AuctionStartPopup	.?AVAuctionStartPopup@@	0x63D62C0	0	0x700A1B0	0x8BB1150	0x3991440
AudioOptions	.?AVAudioOptions@@	0x6266558	0	0x6EFFB70	0x8AFAC60	0x3222440
AutoUpgrade	.?AVAutoUpgrade@@	0x641DAB0	0	0x7032E60	0x8BCB048	0x3AD8900
AutovistaUIScene	.?AVAutovistaUIScene@@	0x6444290	0	0x7054768	0x8BDFEB8	0x3C0E380
BarnFindBlueprintPopupRoot	.?AVBarnFindBlueprintPopupRoot@@	0x6308870	0	0x6F79590	0x8B41A38	0x35563A0
BarnFindBlueprintReceiverSummaryRoot	.?AVBarnFindBlueprintReceiverSummaryRoot@@	0x6309E30	0	0x6F77988	0x8B41818	0x35564D0
BaseCampaignMenu	.?AVBaseCampaignMenu@@	0x63F03E8	0	0x701D808	0x8BBC038	0x3A2DC50
BaseCampaignSetupRoot	.?AVBaseCampaignSetupRoot@@	0x63AB190	0	0x6FE76E8	0x8B98A50	0x385C400
BaseLeaderboard	.?AVBaseLeaderboard@@	0x62673F0	0	0x6F02AB8	0x8AFACB8	0x32225A0
BaseLoadingScreen	.?AVBaseLoadingScreen@@	0x627BD40	0	0x6F13318	0x8B05F00	0x3296E00
BaseOptions	.?AVBaseOptions@@	0x63CA570	0	0x7001C68	0x8AFAC00	0x3947C70
BCDEndScreen	.?AVBCDEndScreen@@	0x62E83B8	0	0x6F5F2D0	0x8B342D0	0x34ADB20
BenchmarkResults	.?AVBenchmarkResults@@	0x63177F0	0	0x6F80AA0	0x8B45CF8	0x3583340
BlueprintSearchPopup	.?AVBlueprintSearchPopup@@	0x62F2478	0	0x6F6BC20	0x8B3AB50	0x34EB960
BucketListBlueprintCarousel	.?AVBucketListBlueprintCarousel@@	0x63CB700	0	0x6FFEF18	0x8BABAB0	0x3947CF0
BucketlistBlueprintMap	.?AVBucketlistBlueprintMap@@	0x6421A90	0	0x703C2D8	0x8BD0C90	0x3B27440
BucketListBlueprintMusicSelect	.?AVBucketListBlueprintMusicSelect@@	0x63C9AF8	0	0x6FFF1F0	0x8BABAE8	0x3947D90
BucketListBlueprintShareOptions	.?AVBucketListBlueprintShareOptions@@	0x63EF1B0	0	0x7019EE0	0x8BBBFA8	0x3A2DCA0
BucketListBlueprintSkillSelect	.?AVBucketListBlueprintSkillSelect@@	0x6296E20	0	0x6F22FD8	0x8B0FED0	0x331DA50
BucketListBlueprintTypeSelect	.?AVBucketListBlueprintTypeSelect@@	0x62F2DF8	0	0x6F69C68	0x8B3A8E8	0x34EBA30
BucketListBrowser	.?AVBucketListBrowser@@	0x63CC0D0	0	0x6FFF4C0	0x8BABB20	0x3947DE0
BucketListChallengeCreationHud	.?AVBucketListChallengeCreationHud@@	0x6403908	0	0x7027BA8	0x8BC4218	0x3A8C8D0
BucketListFinishResult	.?AVBucketListFinishResult@@	0x63CE6E0	0	0x6FFF798	0x8BABB48	0x3947F50
BucketListLeaderboard	.?AVBucketListLeaderboard@@	0x6267D80	0	0x6EFFE78	0x8AFAC88	0x32225F0
BucketListSettings	.?AVBucketListSettings@@	0x62D2428	0	0x6F4CF50	0x8B278E0	0x341F140
BucketListSuper7	.?AVBucketListSuper7@@	0x63CCA80	0	0x6FFFA68	0x8BABB78	0x3947FA0
BucketListSuper7HighStakes	.?AVBucketListSuper7HighStakes@@	0x63CD488	0	0x6FFFD48	0x8BABBA0	0x3948010
BucketListWaitForFinish	.?AVBucketListWaitForFinish@@	0x632F3F8	0	0x6F8FA68	0x8B4EBA0	0x35F5500
CameraTest	.?AVCameraTest@@	0x63368F8	0	0x6F972D8	0x8B511C0	0x362FDB0
CampaignBlueprintSelectEventSignUp	.?AVCampaignBlueprintSelectEventSignUp@@	0x62DD158	0	0x6F56838	0x8B2D650	0x34613C0
CampaignBlueprintSelectImport	.?AVCampaignBlueprintSelectImport@@	0x62DF838	0	0x6F574D8	0x8B2D770	0x3461410
CampaignBlueprintSelectMyEvents	.?AVCampaignBlueprintSelectMyEvents@@	0x62DEE80	0	0x6F571F8	0x8B2D738	0x3461460
CampaignBlueprintSelectPauseMenu	.?AVCampaignBlueprintSelectPauseMenu@@	0x62DDB10	0	0x6F56C38	0x8B2D6C8	0x34614B0
CampaignBlueprintSelectShowroom	.?AVCampaignBlueprintSelectShowroom@@	0x62DE4C8	0	0x6F56F18	0x8B2D700	0x3461500
CampaignEventSelect	.?AVCampaignEventSelect@@	0x631D3B8	0	0x6F865E0	0x8B49430	0x35BBFB0
CampaignProgressFestivalSelectScene	.?AVCampaignProgressFestivalSelectScene@@	0x6351A18	0	0x6FA5B18	0x8B5B5A0	0x368F880
CampaignProgressUpgradeSelectScene	.?AVCampaignProgressUpgradeSelectScene@@	0x62E1D00	0	0x6F577B8	0x8B2D7A8	0x34616C0
CampaignRouteSelect	.?AVCampaignRouteSelect@@	0x63A0680	0	0x6FDD468	0x8B944E8	0x381F350
CampaignRouteSettings	.?AVCampaignRouteSettings@@	0x6438EA0	0	0x704E1C8	0x8BDB050	0x3BCF780
CampaignSetupRoot	.?AVCampaignSetupRoot@@	0x63ABC00	0	0x6FE4BF8	0x8B98A28	0x385C4C0
CampaignSlotMenu	.?AVCampaignSlotMenu@@	0x63F1718	0	0x701A1B8	0x8BBBFE0	0x3A2DD10
CapturingInputPopup	.?AVCapturingInputPopup@@	0x63B18A0	0	0x6FE6148	0x8B98B80	0x385C590
CarClassRestrictionsSelect	.?AVCarClassRestrictionsSelect@@	0x63000E0	0	0x6F70030	0x8B3DC40	0x351D670
CarCollection	.?AVCarCollection@@	0x631EE90	0	0x6F868B0	0x8B49460	0x35BC0F0
CarColorListAdvancedPopup	.?AVCarColorListAdvancedPopup@@	0x63D7048	0	0x700A490	0x8BB1178	0x3991520
CarColorSelect	.?AVCarColorSelect@@	0x6422468	0	0x703C5C0	0x8BD0CC0	0x3B27500
CareerChallenges	.?AVCareerChallenges@@	0x631E3E0	0	0x6F86300	0x8B49408	0x35BC140
CarHistory	.?AVCarHistory@@	0x62FDA78	0	0x6F72120	0x8B3DEF8	0x351D710
CarHornSelect	.?AVCarHornSelect@@	0x630AD30	0	0x6F77C60	0x8B41858	0x35566A0
CarRestrictionsSelect	.?AVCarRestrictionsSelect@@	0x62FF740	0	0x6F70428	0x8B3DCA8	0x351DB80
CarSelectBarnFinds	.?AVCarSelectBarnFinds@@	0x6337250	0	0x6F94858	0x8B50EF8	0x362FE50
CarSelectBlueprintAdvanced	.?AVCarSelectBlueprintAdvanced@@	0x6384550	0	0x6FC9288	0x8B86640	0x3770C10
CarSelectBlueprintView	.?AVCarSelectBlueprintView@@	0x6384F28	0	0x6FC9568	0x8B86678	0x3770CC0
CarSelectBuy	.?AVCarSelectBuy@@	0x6284188	0	0x6F15E00	0x8B08158	0x32C1060
CarSelectBuyFestivalUpgrade	.?AVCarSelectBuyFestivalUpgrade@@	0x63AC6B8	0	0x6FE5000	0x8B98A80	0x385C5E0
CarSelectBuyHorizonRecommends	.?AVCarSelectBuyHorizonRecommends@@	0x63A10B8	0	0x6FDD750	0x8B94518	0x381F3F0
CarSelectBuyPresets	.?AVCarSelectBuyPresets@@	0x6286D50	0	0x6F160D8	0x8B08180	0x32C10B0
CarSelectCareerBuy	.?AVCarSelectCareerBuy@@	0x63A1A88	0	0x6FDDA30	0x8B94550	0x381F440
CarSelectCareerGarage	.?AVCarSelectCareerGarage@@	0x6439828	0	0x704CBE0	0x8B08270	0x3BCF850
CarSelectCarPass	.?AVCarSelectCarPass@@	0x63858E8	0	0x6FC9848	0x8B866A8	0x3770D30
CarSelectConfirmE3	.?AVCarSelectConfirmE3@@	0x62F3798	0	0x6F69F48	0x8B3A920	0x34EBA80
CarSelectDestinationBuy	.?AVCarSelectDestinationBuy@@	0x6284B58	0	0x6F16980	0x8B08208	0x32C1100
CarSelectDestinationGarage	.?AVCarSelectDestinationGarage@@	0x62859B0	0	0x6F16C60	0x8B08238	0x32C1150
CarSelectDiscover	.?AVCarSelectDiscover@@	0x6286380	0	0x6F17060	0x8B082A0	0x32C11A0
CarSelectGarage	.?AVCarSelectGarage@@	0x63E4C48	0	0x7012510	0x8BB6B60	0x39D8490
CarSelectGarageGift	.?AVCarSelectGarageGift@@	0x63AD088	0	0x6FE52E0	0x8B98AB8	0x385C630
CarSelectGarageHorizonRecommends	.?AVCarSelectGarageHorizonRecommends@@	0x6287720	0	0x6F17340	0x8B082C8	0x32C11F0
CarSelectIEBuy	.?AVCarSelectIEBuy@@	0x63862A8	0	0x6FC9B28	0x8B866D0	0x3770D80
CarSelectInfoLabel	.?AVCarSelectInfoLabel@@	0x63523A0	0	0x6FA7468	0x8B5B748	0x368F940
